I0	A	Rs	Rsh	Error
8.477e-10	1.642e+00	7.047e+00	9.951e+03	4.687e+00
8.937e-10	1.648e+00	7.029e+00	9.997e+03	4.539e+00
8.563e-10	1.643e+00	7.117e+00	9.946e+03	4.476e+00
8.220e-10	1.637e+00	7.125e+00	9.980e+03	4.442e+00
8.432e-10	1.641e+00	7.151e+00	9.962e+03	4.424e+00
9.019e-10	1.650e+00	7.038e+00	9.972e+03	4.422e+00
8.308e-10	1.639e+00	7.141e+00	9.983e+03	4.372e+00
8.256e-10	1.639e+00	7.076e+00	9.959e+03	4.348e+00
8.316e-10	1.639e+00	7.124e+00	9.993e+03	4.289e+00
8.472e-10	1.642e+00	7.047e+00	9.965e+03	4.139e+00
8.631e-10	1.644e+00	7.071e+00	9.997e+03	4.127e+00
8.237e-10	1.639e+00	7.112e+00	9.946e+03	4.081e+00
8.171e-10	1.637e+00	7.114e+00	9.979e+03	3.850e+00
8.139e-10	1.637e+00	7.102e+00	9.958e+03	3.731e+00
8.347e-10	1.640e+00	7.117e+00	9.963e+03	3.679e+00
8.792e-10	1.646e+00	7.087e+00	1.000e+04	3.643e+00
8.701e-10	1.645e+00	7.031e+00	9.967e+03	3.582e+00
8.512e-10	1.642e+00	7.136e+00	9.972e+03	3.550e+00
8.244e-10	1.638e+00	7.135e+00	9.954e+03	3.503e+00
8.633e-10	1.643e+00	7.096e+00	9.998e+03	3.485e+00
8.424e-10	1.641e+00	7.131e+00	9.966e+03	3.416e+00
8.617e-10	1.644e+00	7.078e+00	9.999e+03	3.410e+00
8.544e-10	1.643e+00	7.108e+00	9.949e+03	3.402e+00
8.817e-10	1.646e+00	7.036e+00	9.968e+03	3.397e+00
8.410e-10	1.641e+00	7.069e+00	9.978e+03	3.372e+00
8.280e-10	1.638e+00	7.146e+00	9.956e+03	3.338e+00
8.727e-10	1.645e+00	7.052e+00	9.993e+03	3.289e+00
8.334e-10	1.640e+00	7.133e+00	9.977e+03	3.226e+00
8.863e-10	1.647e+00	7.071e+00	9.985e+03	3.182e+00
8.500e-10	1.642e+00	7.052e+00	9.962e+03	3.111e+00
8.499e-10	1.642e+00	7.082e+00	9.995e+03	3.049e+00
8.377e-10	1.640e+00	7.146e+00	9.962e+03	3.040e+00
8.224e-10	1.637e+00	7.130e+00	9.967e+03	3.016e+00
8.675e-10	1.644e+00	7.085e+00	9.995e+03	2.999e+00
8.820e-10	1.647e+00	7.048e+00	9.985e+03	2.913e+00
8.473e-10	1.641e+00	7.139e+00	9.973e+03	2.780e+00
8.617e-10	1.644e+00	7.065e+00	9.988e+03	2.778e+00
8.652e-10	1.644e+00	7.106e+00	9.972e+03	2.777e+00
8.570e-10	1.643e+00	7.062e+00	9.984e+03	2.733e+00
8.404e-10	1.640e+00	7.082e+00	9.966e+03	2.714e+00
8.272e-10	1.639e+00	7.104e+00	9.981e+03	2.706e+00
8.927e-10	1.648e+00	7.061e+00	9.976e+03	2.680e+00
8.897e-10	1.647e+00	7.054e+00	9.972e+03	2.651e+00
8.621e-10	1.644e+00	7.050e+00	9.985e+03	2.651e+00
8.295e-10	1.639e+00	7.092e+00	9.956e+03	2.640e+00
8.928e-10	1.648e+00	7.045e+00	9.974e+03	2.560e+00
8.860e-10	1.647e+00	7.072e+00	9.966e+03	2.554e+00
8.231e-10	1.638e+00	7.104e+00	9.948e+03	2.503e+00
8.832e-10	1.646e+00	7.064e+00	9.970e+03	2.446e+00
8.661e-10	1.644e+00	7.091e+00	9.987e+03	2.429e+00
8.264e-10	1.638e+00	7.120e+00	9.975e+03	2.242e+00
8.459e-10	1.641e+00	7.133e+00	9.973e+03	2.221e+00
8.385e-10	1.640e+00	7.122e+00	9.977e+03	2.170e+00
8.709e-10	1.645e+00	7.053e+00	9.986e+03	2.102e+00
8.504e-10	1.642e+00	7.068e+00	9.983e+03	2.018e+00
8.712e-10	1.645e+00	7.065e+00	9.956e+03	1.939e+00
8.451e-10	1.641e+00	7.107e+00	9.981e+03	1.868e+00
8.397e-10	1.641e+00	7.119e+00	9.958e+03	1.861e+00
8.430e-10	1.641e+00	7.076e+00	9.954e+03	1.689e+00
8.349e-10	1.640e+00	7.117e+00	9.952e+03	1.523e+00
8.703e-10	1.645e+00	7.070e+00	9.979e+03	1.406e+00
8.399e-10	1.640e+00	7.112e+00	9.979e+03	1.387e+00
8.396e-10	1.640e+00	7.110e+00	9.981e+03	1.382e+00
8.572e-10	1.643e+00	7.071e+00	9.981e+03	1.316e+00
8.522e-10	1.642e+00	7.101e+00	9.956e+03	1.264e+00
8.557e-10	1.643e+00	7.101e+00	9.958e+03	1.255e+00
8.559e-10	1.643e+00	7.098e+00	9.954e+03	1.246e+00
8.373e-10	1.640e+00	7.126e+00	9.968e+03	1.033e+00
8.337e-10	1.639e+00	7.102e+00	9.966e+03	9.393e-01
8.669e-10	1.645e+00	7.072e+00	9.968e+03	7.074e-01
8.479e-10	1.642e+00	7.094e+00	9.971e+03	7.024e-01
8.570e-10	1.643e+00	7.076e+00	9.967e+03	6.434e-01
8.556e-10	1.643e+00	7.083e+00	9.963e+03	2.439e-01
