I0	A	Rs	Rsh	Error
5.582e-09	1.546e+00	7.588e+00	7.875e+03	4.713e+00
5.169e-09	1.537e+00	7.632e+00	7.853e+03	4.708e+00
5.187e-09	1.537e+00	7.643e+00	7.838e+03	4.693e+00
5.477e-09	1.545e+00	7.558e+00	7.831e+03	4.681e+00
5.733e-09	1.551e+00	7.521e+00	7.861e+03	4.664e+00
5.324e-09	1.541e+00	7.545e+00	7.851e+03	4.661e+00
5.392e-09	1.543e+00	7.586e+00	7.846e+03	4.654e+00
5.207e-09	1.538e+00	7.576e+00	7.846e+03	4.603e+00
5.648e-09	1.549e+00	7.495e+00	7.874e+03	4.592e+00
5.195e-09	1.538e+00	7.616e+00	7.833e+03	4.569e+00
5.244e-09	1.539e+00	7.584e+00	7.853e+03	4.568e+00
5.260e-09	1.540e+00	7.602e+00	7.854e+03	4.562e+00
5.689e-09	1.549e+00	7.527e+00	7.886e+03	4.557e+00
5.233e-09	1.539e+00	7.612e+00	7.862e+03	4.551e+00
5.377e-09	1.542e+00	7.632e+00	7.850e+03	4.548e+00
5.494e-09	1.544e+00	7.565e+00	7.855e+03	4.490e+00
5.415e-09	1.543e+00	7.567e+00	7.830e+03	4.486e+00
5.285e-09	1.540e+00	7.560e+00	7.857e+03	4.485e+00
5.548e-09	1.547e+00	7.544e+00	7.842e+03	4.455e+00
5.146e-09	1.536e+00	7.635e+00	7.849e+03	4.438e+00
5.222e-09	1.538e+00	7.634e+00	7.842e+03	4.412e+00
5.383e-09	1.542e+00	7.571e+00	7.827e+03	4.391e+00
5.519e-09	1.546e+00	7.505e+00	7.852e+03	4.370e+00
5.166e-09	1.536e+00	7.633e+00	7.846e+03	4.337e+00
5.685e-09	1.550e+00	7.504e+00	7.883e+03	4.301e+00
5.183e-09	1.537e+00	7.632e+00	7.838e+03	4.294e+00
5.589e-09	1.548e+00	7.494e+00	7.858e+03	4.259e+00
5.445e-09	1.544e+00	7.519e+00	7.859e+03	4.238e+00
5.462e-09	1.544e+00	7.555e+00	7.842e+03	4.231e+00
5.310e-09	1.540e+00	7.625e+00	7.873e+03	4.228e+00
5.514e-09	1.546e+00	7.535e+00	7.857e+03	4.202e+00
5.506e-09	1.545e+00	7.603e+00	7.870e+03	4.181e+00
5.748e-09	1.551e+00	7.506e+00	7.873e+03	4.176e+00
5.152e-09	1.536e+00	7.616e+00	7.848e+03	4.153e+00
5.448e-09	1.545e+00	7.545e+00	7.858e+03	4.148e+00
5.408e-09	1.543e+00	7.590e+00	7.856e+03	4.143e+00
5.507e-09	1.545e+00	7.581e+00	7.841e+03	4.131e+00
5.430e-09	1.544e+00	7.554e+00	7.873e+03	4.124e+00
5.491e-09	1.545e+00	7.566e+00	7.834e+03	4.092e+00
5.224e-09	1.539e+00	7.588e+00	7.841e+03	4.088e+00
5.499e-09	1.546e+00	7.516e+00	7.877e+03	4.085e+00
5.640e-09	1.549e+00	7.528e+00	7.881e+03	4.068e+00
5.736e-09	1.551e+00	7.504e+00	7.875e+03	4.017e+00
5.183e-09	1.537e+00	7.602e+00	7.854e+03	4.002e+00
5.530e-09	1.546e+00	7.537e+00	7.843e+03	4.001e+00
5.522e-09	1.546e+00	7.529e+00	7.845e+03	3.995e+00
5.655e-09	1.549e+00	7.504e+00	7.854e+03	3.969e+00
5.467e-09	1.544e+00	7.601e+00	7.855e+03	3.958e+00
5.659e-09	1.550e+00	7.498e+00	7.867e+03	3.933e+00
5.332e-09	1.540e+00	7.637e+00	7.859e+03	3.925e+00
5.409e-09	1.544e+00	7.535e+00	7.837e+03	3.890e+00
5.517e-09	1.546e+00	7.530e+00	7.870e+03	3.882e+00
5.613e-09	1.548e+00	7.571e+00	7.855e+03	3.869e+00
5.209e-09	1.538e+00	7.611e+00	7.863e+03	3.869e+00
5.635e-09	1.548e+00	7.520e+00	7.879e+03	3.845e+00
5.329e-09	1.540e+00	7.584e+00	7.858e+03	3.839e+00
5.673e-09	1.549e+00	7.550e+00	7.861e+03	3.827e+00
5.653e-09	1.549e+00	7.515e+00	7.877e+03	3.825e+00
5.699e-09	1.550e+00	7.523e+00	7.868e+03	3.806e+00
5.273e-09	1.540e+00	7.620e+00	7.861e+03	3.736e+00
5.694e-09	1.550e+00	7.519e+00	7.869e+03	3.734e+00
5.256e-09	1.539e+00	7.636e+00	7.857e+03	3.732e+00
5.252e-09	1.539e+00	7.575e+00	7.839e+03	3.711e+00
5.693e-09	1.550e+00	7.526e+00	7.861e+03	3.618e+00
5.658e-09	1.549e+00	7.559e+00	7.869e+03	3.611e+00
5.607e-09	1.548e+00	7.504e+00	7.873e+03	3.563e+00
5.636e-09	1.548e+00	7.562e+00	7.881e+03	3.545e+00
5.648e-09	1.549e+00	7.512e+00	7.881e+03	3.543e+00
5.523e-09	1.545e+00	7.560e+00	7.862e+03	3.543e+00
5.426e-09	1.543e+00	7.578e+00	7.833e+03	3.520e+00
5.221e-09	1.539e+00	7.601e+00	7.838e+03	3.506e+00
5.329e-09	1.541e+00	7.590e+00	7.875e+03	3.505e+00
5.438e-09	1.544e+00	7.607e+00	7.850e+03	3.498e+00
5.536e-09	1.546e+00	7.550e+00	7.888e+03	3.491e+00
5.349e-09	1.541e+00	7.618e+00	7.839e+03	3.491e+00
5.235e-09	1.538e+00	7.617e+00	7.847e+03	3.469e+00
5.221e-09	1.539e+00	7.588e+00	7.842e+03	3.468e+00
5.247e-09	1.539e+00	7.633e+00	7.846e+03	3.458e+00
5.622e-09	1.548e+00	7.511e+00	7.860e+03	3.414e+00
5.299e-09	1.541e+00	7.598e+00	7.839e+03	3.412e+00
5.254e-09	1.540e+00	7.579e+00	7.848e+03	3.403e+00
5.567e-09	1.546e+00	7.585e+00	7.863e+03	3.389e+00
5.572e-09	1.547e+00	7.525e+00	7.862e+03	3.346e+00
5.467e-09	1.545e+00	7.556e+00	7.841e+03	3.343e+00
5.402e-09	1.543e+00	7.562e+00	7.838e+03	3.334e+00
5.696e-09	1.550e+00	7.508e+00	7.867e+03	3.331e+00
5.496e-09	1.545e+00	7.567e+00	7.881e+03	3.327e+00
5.488e-09	1.545e+00	7.558e+00	7.854e+03	3.309e+00
5.517e-09	1.545e+00	7.566e+00	7.877e+03	3.285e+00
5.366e-09	1.542e+00	7.607e+00	7.851e+03	3.268e+00
5.464e-09	1.545e+00	7.525e+00	7.843e+03	3.267e+00
5.451e-09	1.544e+00	7.568e+00	7.836e+03	3.256e+00
5.643e-09	1.549e+00	7.514e+00	7.853e+03	3.246e+00
5.486e-09	1.545e+00	7.534e+00	7.842e+03	3.197e+00
5.630e-09	1.548e+00	7.537e+00	7.874e+03	3.194e+00
5.538e-09	1.546e+00	7.556e+00	7.884e+03	3.188e+00
5.433e-09	1.543e+00	7.572e+00	7.835e+03	3.170e+00
5.380e-09	1.542e+00	7.578e+00	7.869e+03	3.164e+00
5.235e-09	1.539e+00	7.599e+00	7.854e+03	3.159e+00
5.520e-09	1.545e+00	7.599e+00	7.864e+03	3.155e+00
5.451e-09	1.544e+00	7.578e+00	7.838e+03	3.142e+00
5.568e-09	1.546e+00	7.542e+00	7.853e+03	3.136e+00
5.483e-09	1.545e+00	7.585e+00	7.841e+03	3.131e+00
5.223e-09	1.538e+00	7.620e+00	7.846e+03	3.129e+00
5.396e-09	1.543e+00	7.579e+00	7.835e+03	3.126e+00
5.502e-09	1.545e+00	7.602e+00	7.870e+03	3.122e+00
5.215e-09	1.538e+00	7.610e+00	7.856e+03	3.113e+00
5.444e-09	1.544e+00	7.608e+00	7.871e+03	3.068e+00
5.468e-09	1.544e+00	7.531e+00	7.869e+03	3.068e+00
5.291e-09	1.540e+00	7.616e+00	7.836e+03	3.054e+00
5.611e-09	1.548e+00	7.524e+00	7.883e+03	3.048e+00
5.313e-09	1.540e+00	7.628e+00	7.846e+03	3.029e+00
5.654e-09	1.549e+00	7.552e+00	7.870e+03	3.000e+00
5.416e-09	1.543e+00	7.540e+00	7.873e+03	2.996e+00
5.502e-09	1.545e+00	7.544e+00	7.866e+03	2.967e+00
5.521e-09	1.546e+00	7.586e+00	7.855e+03	2.945e+00
5.486e-09	1.545e+00	7.564e+00	7.838e+03	2.934e+00
5.548e-09	1.547e+00	7.527e+00	7.870e+03	2.932e+00
5.248e-09	1.539e+00	7.632e+00	7.853e+03	2.924e+00
5.677e-09	1.549e+00	7.527e+00	7.871e+03	2.913e+00
5.406e-09	1.543e+00	7.569e+00	7.879e+03	2.876e+00
5.540e-09	1.547e+00	7.517e+00	7.867e+03	2.865e+00
5.224e-09	1.538e+00	7.594e+00	7.850e+03	2.805e+00
5.364e-09	1.542e+00	7.579e+00	7.833e+03	2.805e+00
5.458e-09	1.545e+00	7.520e+00	7.856e+03	2.795e+00
5.290e-09	1.540e+00	7.596e+00	7.859e+03	2.786e+00
5.458e-09	1.545e+00	7.549e+00	7.868e+03	2.746e+00
5.635e-09	1.548e+00	7.542e+00	7.882e+03	2.746e+00
5.377e-09	1.543e+00	7.554e+00	7.839e+03	2.741e+00
5.481e-09	1.545e+00	7.548e+00	7.842e+03	2.721e+00
5.353e-09	1.541e+00	7.618e+00	7.844e+03	2.693e+00
5.387e-09	1.543e+00	7.542e+00	7.841e+03	2.692e+00
5.664e-09	1.549e+00	7.535e+00	7.861e+03	2.684e+00
5.277e-09	1.540e+00	7.623e+00	7.852e+03	2.682e+00
5.456e-09	1.544e+00	7.551e+00	7.869e+03	2.667e+00
5.364e-09	1.542e+00	7.620e+00	7.854e+03	2.655e+00
5.368e-09	1.541e+00	7.601e+00	7.851e+03	2.644e+00
5.279e-09	1.539e+00	7.629e+00	7.852e+03	2.636e+00
5.476e-09	1.544e+00	7.580e+00	7.845e+03	2.622e+00
5.371e-09	1.542e+00	7.545e+00	7.842e+03	2.613e+00
5.467e-09	1.544e+00	7.574e+00	7.847e+03	2.586e+00
5.459e-09	1.544e+00	7.566e+00	7.878e+03	2.582e+00
5.654e-09	1.549e+00	7.542e+00	7.877e+03	2.574e+00
5.486e-09	1.545e+00	7.563e+00	7.844e+03	2.569e+00
5.665e-09	1.549e+00	7.518e+00	7.864e+03	2.563e+00
5.634e-09	1.548e+00	7.536e+00	7.876e+03	2.562e+00
5.315e-09	1.541e+00	7.555e+00	7.849e+03	2.558e+00
5.631e-09	1.549e+00	7.510e+00	7.871e+03	2.553e+00
5.515e-09	1.545e+00	7.526e+00	7.869e+03	2.545e+00
5.259e-09	1.539e+00	7.575e+00	7.851e+03	2.536e+00
5.581e-09	1.548e+00	7.518e+00	7.864e+03	2.515e+00
5.279e-09	1.539e+00	7.590e+00	7.840e+03	2.513e+00
5.345e-09	1.541e+00	7.550e+00	7.847e+03	2.498e+00
5.499e-09	1.545e+00	7.555e+00	7.846e+03	2.460e+00
5.509e-09	1.545e+00	7.563e+00	7.842e+03	2.446e+00
5.429e-09	1.544e+00	7.537e+00	7.870e+03	2.442e+00
5.557e-09	1.547e+00	7.569e+00	7.872e+03	2.427e+00
5.568e-09	1.547e+00	7.538e+00	7.878e+03	2.416e+00
5.489e-09	1.545e+00	7.535e+00	7.873e+03	2.396e+00
5.230e-09	1.538e+00	7.608e+00	7.846e+03	2.389e+00
5.347e-09	1.541e+00	7.592e+00	7.874e+03	2.387e+00
5.449e-09	1.544e+00	7.571e+00	7.857e+03	2.376e+00
5.568e-09	1.547e+00	7.574e+00	7.864e+03	2.373e+00
5.257e-09	1.539e+00	7.582e+00	7.843e+03	2.366e+00
5.570e-09	1.547e+00	7.532e+00	7.849e+03	2.354e+00
5.589e-09	1.548e+00	7.514e+00	7.873e+03	2.334e+00
5.327e-09	1.540e+00	7.611e+00	7.846e+03	2.329e+00
5.455e-09	1.544e+00	7.598e+00	7.874e+03	2.318e+00
5.433e-09	1.544e+00	7.572e+00	7.861e+03	2.306e+00
5.533e-09	1.546e+00	7.585e+00	7.857e+03	2.288e+00
5.327e-09	1.541e+00	7.562e+00	7.853e+03	2.287e+00
5.547e-09	1.547e+00	7.518e+00	7.856e+03	2.283e+00
5.600e-09	1.548e+00	7.533e+00	7.880e+03	2.254e+00
5.406e-09	1.543e+00	7.548e+00	7.842e+03	2.253e+00
5.401e-09	1.543e+00	7.576e+00	7.844e+03	2.245e+00
5.496e-09	1.545e+00	7.596e+00	7.860e+03	2.242e+00
5.646e-09	1.549e+00	7.522e+00	7.875e+03	2.222e+00
5.533e-09	1.546e+00	7.567e+00	7.874e+03	2.218e+00
5.333e-09	1.541e+00	7.609e+00	7.845e+03	2.215e+00
5.270e-09	1.539e+00	7.615e+00	7.846e+03	2.173e+00
5.473e-09	1.545e+00	7.579e+00	7.850e+03	2.170e+00
5.574e-09	1.547e+00	7.524e+00	7.853e+03	2.152e+00
5.302e-09	1.540e+00	7.573e+00	7.863e+03	2.146e+00
5.349e-09	1.541e+00	7.588e+00	7.837e+03	2.122e+00
5.447e-09	1.544e+00	7.555e+00	7.862e+03	2.112e+00
5.393e-09	1.542e+00	7.603e+00	7.870e+03	2.067e+00
5.514e-09	1.545e+00	7.555e+00	7.858e+03	2.030e+00
5.498e-09	1.545e+00	7.577e+00	7.863e+03	2.027e+00
5.267e-09	1.540e+00	7.579e+00	7.847e+03	2.020e+00
5.401e-09	1.543e+00	7.540e+00	7.863e+03	2.013e+00
5.555e-09	1.547e+00	7.560e+00	7.875e+03	2.011e+00
5.446e-09	1.544e+00	7.574e+00	7.853e+03	2.006e+00
5.329e-09	1.540e+00	7.614e+00	7.849e+03	1.975e+00
5.545e-09	1.547e+00	7.519e+00	7.858e+03	1.955e+00
5.518e-09	1.545e+00	7.569e+00	7.874e+03	1.950e+00
5.467e-09	1.544e+00	7.591e+00	7.871e+03	1.942e+00
5.373e-09	1.542e+00	7.547e+00	7.858e+03	1.942e+00
5.495e-09	1.545e+00	7.561e+00	7.879e+03	1.941e+00
5.527e-09	1.546e+00	7.541e+00	7.849e+03	1.927e+00
5.492e-09	1.545e+00	7.553e+00	7.853e+03	1.920e+00
5.496e-09	1.545e+00	7.526e+00	7.865e+03	1.913e+00
5.357e-09	1.542e+00	7.549e+00	7.855e+03	1.901e+00
5.533e-09	1.546e+00	7.524e+00	7.871e+03	1.872e+00
5.518e-09	1.545e+00	7.579e+00	7.862e+03	1.866e+00
5.551e-09	1.547e+00	7.518e+00	7.859e+03	1.855e+00
5.593e-09	1.548e+00	7.521e+00	7.861e+03	1.825e+00
5.347e-09	1.542e+00	7.593e+00	7.861e+03	1.824e+00
5.434e-09	1.544e+00	7.557e+00	7.840e+03	1.785e+00
5.541e-09	1.546e+00	7.524e+00	7.853e+03	1.754e+00
5.449e-09	1.543e+00	7.598e+00	7.864e+03	1.746e+00
5.256e-09	1.539e+00	7.604e+00	7.847e+03	1.738e+00
5.509e-09	1.546e+00	7.532e+00	7.851e+03	1.735e+00
5.357e-09	1.542e+00	7.554e+00	7.860e+03	1.728e+00
5.486e-09	1.544e+00	7.582e+00	7.874e+03	1.712e+00
5.318e-09	1.541e+00	7.574e+00	7.857e+03	1.705e+00
5.609e-09	1.548e+00	7.521e+00	7.863e+03	1.695e+00
5.532e-09	1.546e+00	7.581e+00	7.860e+03	1.687e+00
5.303e-09	1.541e+00	7.573e+00	7.848e+03	1.685e+00
5.263e-09	1.539e+00	7.599e+00	7.856e+03	1.646e+00
5.478e-09	1.545e+00	7.574e+00	7.876e+03	1.623e+00
5.453e-09	1.544e+00	7.578e+00	7.877e+03	1.615e+00
5.414e-09	1.544e+00	7.543e+00	7.855e+03	1.610e+00
5.308e-09	1.540e+00	7.595e+00	7.840e+03	1.602e+00
5.577e-09	1.547e+00	7.547e+00	7.875e+03	1.569e+00
5.346e-09	1.542e+00	7.577e+00	7.860e+03	1.564e+00
5.463e-09	1.544e+00	7.567e+00	7.844e+03	1.559e+00
5.488e-09	1.544e+00	7.573e+00	7.861e+03	1.546e+00
5.313e-09	1.541e+00	7.602e+00	7.855e+03	1.546e+00
5.340e-09	1.541e+00	7.593e+00	7.864e+03	1.537e+00
5.326e-09	1.541e+00	7.595e+00	7.855e+03	1.519e+00
5.569e-09	1.547e+00	7.560e+00	7.860e+03	1.514e+00
5.535e-09	1.546e+00	7.546e+00	7.853e+03	1.510e+00
5.322e-09	1.541e+00	7.604e+00	7.862e+03	1.482e+00
5.406e-09	1.543e+00	7.567e+00	7.856e+03	1.467e+00
5.487e-09	1.544e+00	7.586e+00	7.858e+03	1.434e+00
5.348e-09	1.541e+00	7.594e+00	7.860e+03	1.428e+00
5.513e-09	1.546e+00	7.565e+00	7.857e+03	1.427e+00
5.449e-09	1.544e+00	7.574e+00	7.874e+03	1.416e+00
5.427e-09	1.544e+00	7.586e+00	7.852e+03	1.397e+00
5.313e-09	1.540e+00	7.599e+00	7.864e+03	1.393e+00
